states,value
Alabama,8
Arizona,7
California,138
Colorado,9
Connecticut,4
Florida,15
Georgia,12
Idaho,1
Illinois,28
Indiana,27
Iowa,4
Kansas,3
Kentucky,5
Louisiana,1
Maine,1
Maryland,8
Massachusetts,20
Michigan,22
Minnesota,21
Mississippi,1
Missouri,12
Nebraska,2
Nevada,3
New Hampshire,3
New Jersey,6
New Mexico,2
New York,57
North Carolina,14
Ohio,30
Oklahoma,6
Oregon,29
Pennsylvania,29
Rhode Island,1
South Carolina,9
South Dakota,3
Tennessee,45
Texas,44
Utah,11
Vermont,3
Virginia,14
Washington,69
West Virginia,1
Wisconsin,12
Wyoming,2
